,Classes,Old Price,Price Change,New Price,date_range
513,Mercedes GLS A/T / 580 class 2022,"3,300,000 EGP","trending_up +299,000 EGP","3,599,000 EGP",12/4/2022
514,Mercedes GLE A/T / 450 4MATIC 2022,"2,400,000 EGP","trending_up +330,000 EGP","2,730,000 EGP",12/4/2022
515,Mercedes GLA A/T / 200 Progressive 2022,"1,090,000 EGP","trending_up +100,000 EGP","1,190,000 EGP",12/4/2022
516,Mercedes CLS Class A/T / (350) coupe 2022,"2,200,000 EGP","trending_up +275,000 EGP","2,475,000 EGP",12/4/2022
517,Mercedes CLA 200 A/T / Coupe Progressive 2022,"1,030,000 EGP","trending_up +114,000 EGP","1,144,000 EGP",12/4/2022
518,Mercedes Maybach Automtic 2022,"6,800,000 EGP","trending_up +830,000 EGP","7,630,000 EGP",12/4/2022
519,Mercedes S 450 A/T / LONG EXECUTIVE 2022,"4,000,000 EGP","trending_up +540,000 EGP","4,540,000 EGP",12/4/2022
520,Mercedes G Class A/T / AMG G 63 / NIGHT EDITION 2022,"6,000,000 EGP","trending_up +475,000 EGP","6,475,000 EGP",12/4/2022
521,Mercedes G Class A/T / AMG G 63 2022,"5,900,000 EGP","trending_up +800,000 EGP","6,700,000 EGP",12/4/2022
522,Mercedes G Class A/T / 500 2022,"4,500,000 EGP","trending_up +349,000 EGP","4,849,000 EGP",12/4/2022
523,Mercedes E 53 AMG A/T / AMG 2022,"3,300,000 EGP","trending_up +440,000 EGP","3,740,000 EGP",12/4/2022
524,Mercedes E 200 A/T / Cabrio AMG 2022,"1,950,000 EGP","trending_up +215,000 EGP","2,165,000 EGP",12/4/2022
525,Mercedes E 200 A/T / Coupe AMG 2022,"1,750,000 EGP","trending_up +245,000 EGP","1,995,000 EGP",12/4/2022
526,Mercedes E 300 A/T / EXCLUSIVE 2022,"2,050,000 EGP","trending_up +214,000 EGP","2,264,000 EGP",12/4/2022
527,Mercedes E 200 A/T / AMG 2022,"1,900,000 EGP","trending_up +194,000 EGP","2,094,000 EGP",12/4/2022
528,Mercedes E 200 A/T / AVANTGARDE 2022,"1,700,000 EGP","trending_up +235,000 EGP","1,935,000 EGP",12/4/2022
529,Mercedes E 200 A/T / PREMIUM 2022,"1,550,000 EGP","trending_up +174,000 EGP","1,724,000 EGP",12/4/2022
530,Mercedes C 200 A/T / Sport 2022,"1,450,000 EGP","trending_up +140,000 EGP","1,590,000 EGP",12/4/2022
531,Mercedes C 180 A/T / Sport 2022,"1,300,000 EGP","trending_up +69,000 EGP","1,369,000 EGP",12/4/2022
532,Mercedes C 180 A/T / Avantgarde plus 2022,"1,225,000 EGP","trending_up +114,000 EGP","1,339,000 EGP",12/4/2022
533,Mercedes B 200 A/T / SPORTS TOURER 2022,"895,000 EGP","trending_up +89,000 EGP","984,000 EGP",12/4/2022
534,Mercedes A Class A/T / AMG A35 4M HATCHBACK 2022,"1,400,000 EGP","trending_up +175,000 EGP","1,575,000 EGP",12/4/2022
535,Mercedes A 200 A/T / PROGRESSIVE 2022,"890,000 EGP","trending_up +94,000 EGP","984,000 EGP",12/4/2022
536,Changan CS 35 Plus A/T / FLAGSHIP 2022,"650,000 EGP","trending_up +10,000 EGP","660,000 EGP",12/1/2022
537,Changan CS 35 Plus A/T / PREMIUM 2022,"615,000 EGP","trending_up +10,000 EGP","625,000 EGP",12/1/2022
538,Changan CS 35 Plus A/T / ELITE 2022,"589,000 EGP","trending_up +10,000 EGP","599,000 EGP",12/1/2022
539,Haval H6 A/T / High Deluxe 2022,"860,000 EGP","trending_up +40,000 EGP","900,000 EGP",12/1/2022
540,Haval H6 A/T / Deluxe SR 2022,"815,000 EGP","trending_up +35,000 EGP","850,000 EGP",12/1/2022
541,Haval H6 A/T / Deluxe 2022,"780,000 EGP","trending_up +25,000 EGP","805,000 EGP",12/1/2022
542,Haval H6 A/T / Standard 2022,"735,000 EGP","trending_up +25,000 EGP","760,000 EGP",12/1/2022
543,Haval Jolion A/T / High Deluxe 2022,"705,000 EGP","trending_up +40,000 EGP","745,000 EGP",12/1/2022
544,Haval Jolion A/T / Deluxe SR 2022,"675,000 EGP","trending_up +35,000 EGP","710,000 EGP",12/1/2022
545,Haval Jolion A/T / Deluxe 2022,"640,000 EGP","trending_up +25,000 EGP","665,000 EGP",12/1/2022
546,Haval Jolion A/T / Standard 2022,"595,000 EGP","trending_up +25,000 EGP","620,000 EGP",12/1/2022
547,Nissan Sentra Automatic / upper 2023,"479,500 EGP","trending_up +5,000 EGP","484,500 EGP",12/1/2022
548,Nissan Sunny A/T / Super Saloon 2023,"372,000 EGP","trending_up +4,000 EGP","376,000 EGP",12/1/2022
549,Nissan Sunny A/T / plus 2023,"358,000 EGP","trending_up +4,000 EGP","362,000 EGP",12/1/2022
550,Nissan Sunny Automatic / Baseline 2023,"337,500 EGP","trending_up +4,000 EGP","341,500 EGP",12/1/2022
551,Nissan Sunny Manual‏ / Baseline 2023,"306,400 EGP","trending_up  +4,000 EGP","310,400 EGP",12/1/2022
552,Hyundai Elantra HD A/T / HIGHLINE TINTED GLASS 15 2023,"460,000 EGP","trending_up +15,000 EGP","475,000 EGP",11/30/2022
553,Hyundai Elantra HD Automatic / GL / DAB / ABS / Tinted glass 2023,"450,000 EGP","trending_up +15,000 EGP","465,000 EGP",11/30/2022
554,Hyundai Elantra HD Automatic / GL / SR / TINTED GLASS 2023,"440,000 EGP","trending_up +15,000 EGP","455,000 EGP",11/30/2022
555,Hyundai Elantra HD Automatic / GL / TINTED GLASS 2023,"430,000 EGP","trending_up +15,000 EGP","445,000 EGP",11/30/2022
556,Hyundai Accent RB A/T / Highline TINTED GLASS 2023,"400,000 EGP","trending_up +10,000 EGP","410,000 EGP",11/30/2022
557,Hyundai Accent RB A/T / DAB ABS PLUS TINTED GLASS 2023,"390,000 EGP","trending_up +10,000 EGP","400,000 EGP",11/30/2022
558,Hyundai Accent RB A/T / DAB ABS TINTED GLASS 2023,"380,000 EGP","trending_up +10,000 EGP","390,000 EGP",11/30/2022
559,Hyundai Accent RB A/T / SR TINTED GLASS 2023,"370,000 EGP","trending_up +10,000 EGP","380,000 EGP",11/30/2022
560,Hyundai Accent RB A/T / TINTED GLASS 2023,"360,000 EGP","trending_up +10,000 EGP","370,000 EGP",11/30/2022
561,Citroën C4 A/T / Shine Red interior 2023,"699,900 EGP","trending_up  +30,000 EGP","729,900 EGP",11/30/2022
562,Citroën C4 A/T / feel Bule interior 2023,"639,900 EGP","trending_up +30,000 EGP","669,900 EGP",11/30/2022
563,Citroën C4 A/T / Shine 2023,"689,900 EGP","trending_up +30,000 EGP","719,900 EGP",11/30/2022
564,Citroën C4 A/T / Feel 2023,"629,900 EGP","trending_up +30,000 EGP","659,900 EGP",11/30/2022
565,Citroën C5 Aircross A/T / SHINE 2023,"864,900 EGP","trending_up +35,000 EGP","899,900 EGP",11/30/2022
566,Citroën C5 Aircross A/T / FEEL / with out sunroof 2023,"779,900 EGP","trending_up +35,000 EGP","814,900 EGP",11/30/2022
567,Citroën C5 Aircross A/T / Live 2023,"719,990 EGP","trending_up +30,000 EGP","749,990 EGP",11/30/2022
568,Citroën C Elysee A/T / Luxury 2023,"399,900 EGP","trending_up +30,000 EGP","429,900 EGP",11/30/2022
569,Citroën C Elysee A/T / Comfort 2023,"359,900 EGP","trending_up +30,000 EGP","389,900 EGP",11/30/2022
570,Ford EcoSport A/T / Sport plus 2022,"505,000 EGP","trending_up +65,000 EGP","570,000 EGP",11/29/2022
571,Ford EcoSport A/T / Trend plus 2022,"450,000 EGP","trending_up +55,000 EGP","505,000 EGP",11/29/2022
572,Renault Megane A/T / Signature + Turbo 2022,"676,000 EGP","trending_up +40,000 EGP","716,000 EGP",11/24/2022
573,Renault Megane A/T / Signature Turbo 2022,"626,000 EGP","trending_up +40,000 EGP","666,000 EGP",11/24/2022
574,Renault Megane A/T / IntenseTurbo 2022,"616,000 EGP","trending_up +40,000 EGP","656,000 EGP",11/24/2022
575,Renault Megane A/T / Dynamic Turbo 2022,"585,000 EGP","trending_up +40,000 EGP","625,000 EGP",11/24/2022
576,Renault Megane A/T / Vision 2022,"494,000 EGP","trending_up +40,000 EGP","534,000 EGP",11/24/2022
577,Renault Megane A/T / Dynamic 2022,"545,000 EGP","trending_up +40,000 EGP","585,000 EGP",11/24/2022
578,Renault Megane Automatic / Signature 2022,"575,000 EGP","trending_up +40,000 EGP","615,000 EGP",11/24/2022
579,Renault Sandero Step Way A/T / SW NAV 2022,"399,000 EGP","trending_up +25,000 EGP","424,000 EGP",11/24/2022
580,Renault Sandero Step Way A/T / SW 2022,"389,000 EGP","trending_up +25,000 EGP","414,000 EGP",11/24/2022
581,Renault Sandero A/T / B1 2022,"369,000 EGP","trending_up +25,000 EGP","394,000 EGP",11/24/2022
582,Renault Logan A/T / E3 / Black Edtion 2022,"369,000 EGP","trending_up +25,000 EGP","394,000 EGP",11/24/2022
583,Renault Logan A/T / E3 2022,"359,000 EGP","trending_up +25,000 EGP","384,000 EGP",11/24/2022
584,Renault Logan A/T / E2 2022,"349,000 EGP","trending_up +25,000 EGP","374,000 EGP",11/24/2022
585,Renault Logan A/T / E1 2022,"339,000 EGP","trending_up +25,000 EGP","364,000 EGP",11/24/2022
586,Volkswagen T-Roc A/T / R Line 2023,"795,000 EGP","trending_up +104,000 EGP","899,000 EGP",11/22/2022
587,Volkswagen T-Roc A/T / Life 2023,"690,000 EGP","trending_up +109,000 EGP","799,000 EGP",11/22/2022
588,Volkswagen Touareg A/T / R Line 2022,"2,200,000 EGP","trending_up +200,000 EGP","2,400,000 EGP",11/22/2022
589,Volkswagen Golf A/T / Life 2022,"825,000 EGP","trending_up +125,000 EGP","950,000 EGP",11/22/2022
590,Volkswagen Tiguan A/T / R-Line 2022,"999,000 EGP","trending_up +251,000 EGP","1,250,000 EGP",11/22/2022
591,Volkswagen Tiguan A/T / Elegance 2022,"895,000 EGP","trending_up +180,000 EGP","1,075,000 EGP",11/22/2022
592,Volkswagen Passat A/T / Comfortline 2022,"955,000 EGP","trending_up +195,000 EGP","1,150,000 EGP",11/22/2022
593,Volkswagen Passat Automtic / Trendline plus 2022,"800,000 EGP","trending_up +190,000 EGP","990,000 EGP",11/22/2022
594,Jeep Renegade A/T / Limited 4WD 2022,"630,000 EGP","trending_up +220,000 EGP","850,000 EGP",11/22/2022
595,Jeep Renegade A/T / Limited Panorama 2022,"580,000 EGP","trending_up +215,000  EGP","795,000 EGP",11/22/2022
596,Jeep Renegade A/T / Longitude 2022,"499,900 EGP","trending_up +220,100 EGP","720,000 EGP",11/22/2022
597,Geely Okavango A/T / Premium 2022,"660,000 EGP","trending_up +169,000 EGP","829,000 EGP",11/21/2022
598,Geely Cool Ray A/T / Premium / black 2022,"545,000 EGP","trending_up +104,000 EGP","649,000 EGP",11/21/2022
599,Geely Cool Ray A/T / Premium 2022,"535,000 EGP","trending_up +104,000 EGP","639,000 EGP",11/21/2022
600,Geely Cool Ray A/T / Comfort 2022,"470,000 EGP","trending_up +99,000 EGP","569,000 EGP",11/21/2022
601,Cupra Formentor Automtic 2022,"1,065,000 EGP","trending_up +135,000 EGP","1,200,000 EGP",11/21/2022
602,Ford EcoSport A/T / Sport plus 2022,"377,000 EGP","trending_up +128,000 EGP","505,000 EGP",11/21/2022
603,Ford EcoSport A/T / Trend plus 2022,"332,000 EGP","trending_up +118,000 EGP","450,000 EGP",11/21/2022
604,Seat Tarraco A/T / XCELLENCE 2022,"970,000 EGP","trending_up +230,000 EGP","1,200,000 EGP",11/18/2022
605,Seat Tarraco A/T / FR 2022,"1,075,000 EGP","trending_up +25,000 EGP","1,100,000 EGP",11/18/2022
606,Seat Ateca A/T / FR 2022,"960,000 EGP","trending_up +35,000 EGP","995,000 EGP",11/18/2022
607,Seat Ateca A/T / Experience 2022,"940,000 EGP","trending_up +40,000 EGP","980,000 EGP",11/18/2022
608,Seat Ateca A/T / Style Plus 2022,"835,000 EGP","trending_up +45,000 EGP","880,000 EGP",11/18/2022
609,Seat Ateca A/T / Style 2022,"760,000 EGP","trending_up +40,000 EGP","800,000 EGP",11/18/2022
610,Seat Leon A/T / FR 2022,"800,000 EGP","trending_up +75,000 EGP","875,000 EGP",11/18/2022
611,Seat Leon A/T / ADVANCED 2022,"410,000 EGP","trending_up +420,000 EGP","830,000 EGP",11/18/2022
612,Seat Arona Automatic / Experience 2022,"620,000 EGP","trending_up +55,000 EGP","675,000 EGP",11/18/2022
613,Seat Arona Automatic / Style 2022,"570,000 EGP","trending_up +55,000 EGP","625,000 EGP",11/18/2022
614,Seat Ibiza A/T / FR 2022,"580,000 EGP","trending_up +40,000 EGP","620,000 EGP",11/18/2022
615,Seat Ibiza A/T / Reference 2022,"510,000 EGP","trending_up +45,000 EGP","555,000 EGP",11/18/2022
616,Kia Sportage A/T / GT-Line 2022,"879,900 EGP","trending_up +190,000 EGP","1,069,900 EGP",11/17/2022
617,Kia Sportage A/T / Top Line 2022,"849,900 EGP","trending_up +160,000 EGP","1,009,900 EGP",11/17/2022
618,Kia Sportage A/T / Highline 2022,"789,900 EGP","trending_up +140,000 EGP","929,900 EGP",11/17/2022
619,Kia Sportage A/T / EX 2022,"719,900 EGP","trending_up +110,000 EGP","829,900 EGP",11/17/2022
620,Kia Sportage A/T / LX 2022,"679,900 EGP","trending_up +110,000 EGP","789,900 EGP",11/17/2022
621,Kia Xceed A/T / Top Line 2022,"589,900 EGP","trending_up +170,000 EGP","759,900 EGP",11/17/2022
622,Kia Xceed A/T / Highline 2022,"539,900 EGP","trending_up +160,000 EGP","699,900 EGP",11/17/2022
623,Kia Grand Cerato A/T / Topline 2022,"579,900 EGP","trending_up +90,000 EGP","669,900 EGP",11/17/2022
624,Kia Grand Cerato A/T / Highline 2022,"534,900 EGP","trending_up +85,000 EGP","619,900 EGP",11/17/2022
625,Kia Grand Cerato A/T / EX Cam 2022,"509,900 EGP","trending_up +80,000 EGP","589,900 EGP",11/17/2022
626,Kia Grand Cerato A/T / LX FO 2022,"469,900 EGP","trending_up +70,000 EGP","539,900 EGP",11/17/2022
627,Audi Q8 A/T / S Line Plus 2022,"3,000,000 EGP","trending_up +350,000 EGP","3,350,000 EGP",11/15/2022
628,Audi Q8 A/T / S Line 2022,"2,850,000 EGP","trending_up +450,000 EGP","3,300,000 EGP",11/15/2022
629,Audi Q7 A/T / TFSI 2022,"2,750,000 EGP","trending_up +450,000 EGP","3,200,000 EGP",11/15/2022
630,Audi Q7 A/T / S Line 2022,"2,300,000 EGP","trending_up +250,000 EGP","2,550,000 EGP",11/15/2022
631,Audi Q3 A/T / SB W New-Rim 2022,"1,190,000 EGP","trending_up +260,000 EGP","1,450,000 EGP",11/15/2022
632,Audi Q3 A/T / Sport back 2022,"1,390,000 EGP","trending_up +310,000 EGP","1,700,000 EGP",11/15/2022
633,Audi Q3 A/T / S-Line 2022,"1,090,000 EGP","trending_up +210,000 EGP","1,300,000 EGP",11/15/2022
634,Audi Q3 A/T / Advanced 2022,"990,000 EGP","trending_up +160,000 EGP","1,150,000 EGP",11/15/2022
635,Audi Q2 A/T / S Line 2022,"890,000 EGP","trending_up +200,000 EGP","1,090,000 EGP",11/15/2022
636,Audi Q2 A/T / Basis 2022,"790,000 EGP","trending_up +90,000 EGP","880,000 EGP",11/15/2022
637,Audi A6 A/T / S Line 2022,"1,790,000 EGP","trending_up +360,000 EGP","2,150,000 EGP",11/15/2022
638,Audi A5 A/T / S-Line 2022,"1,400,000 EGP","trending_up +300,000 EGP","1,700,000 EGP",11/15/2022
639,Audi A4 A/T / S Line Plus 2022,"1,300,000 EGP","trending_up +250,000 EGP","1,550,000 EGP",11/15/2022
640,Audi A4 A/T / Smart 2022,"1,150,000 EGP","trending_up +200,000 EGP","1,350,000 EGP",11/15/2022
641,Audi A3 A/T / Sport back 2022,"925,000 EGP","trending_up +175,000 EGP","1,100,000 EGP",11/15/2022
642,Audi A3 A/T / S-Line 2022,"925,000 EGP","trending_up +175,000 EGP","1,100,000 EGP",11/15/2022
643,Audi A3 A/T / Advanced 2022,"825,000 EGP","trending_up +165,000 EGP","990,000 EGP",11/15/2022
644,Volvo XC90 A/T / Inscription 2022,"1,950,000 EGP","trending_up +700,000 EGP","2,650,000 EGP",11/15/2022
645,Volvo XC90 A/T / Momentum 2022,"1,770,000 EGP","trending_up +680,000 EGP","2,450,000 EGP",11/15/2022
646,Volvo XC60 A/T / R-Design 2022,"1,490,000 EGP","trending_up  +535,000 EGP","2,025,000 EGP",11/15/2022
647,Volvo XC60 A/T / Momentum 2022,"1,240,000 EGP","trending_up +510,000 EGP","1,750,000 EGP",11/15/2022
648,Subaru XV A/T / Luxury 2022,"535,000 EGP","trending_up +235,000 EGP","770,000 EGP",11/15/2022
649,Subaru XV A/T / Premium 2022,"490,000 EGP","trending_up +210,000 EGP","700,000 EGP",11/15/2022
650,Subaru XV A/T / Full Option 2022,"450,000 EGP","trending_up +200,000 EGP","650,000 EGP",11/15/2022
651,Subaru Impreza A/T 2022,"385,000 EGP","trending_up +114,000 EGP","499,000 EGP",11/15/2022
652,Jeep Grand Cherokee ِAutomatic / Limited 2022,"1,450,000 EGP","trending_up +700,000 EGP","2,150,000 EGP",11/15/2022
653,Jac J7 A/T / Ultimate 2022,"529,900 EGP","trending_up +50,000 EGP","579,900 EGP",11/14/2022
654,Jac J7 A/T / Deluxe 2022,"499,900 EGP","trending_up  +50,000 EGP","549,900 EGP",11/14/2022
655,Jac JS4 A/T / Utlimate 2022,"537,900 EGP","trending_up +50,000 EGP","587,900 EGP",11/14/2022
656,Jac JS4 A/T / Deluxe 2022,"497,900 EGP","trending_up +50,000 EGP","547,900 EGP",11/14/2022
657,Jac JS3 A/T / Smart 2022,"429,900 EGP","trending_up +50,000 EGP","479,900 EGP",11/14/2022
658,Baic X7 A/T / Elite 2022,"620,000 EGP","trending_up +370,000 EGP","990,000 EGP",11/13/2022
659,Baic X3 A/T / Luxury 2023,"469,000 EGP","trending_up +40,000 EGP","509,000 EGP",11/13/2022
660,Suzuki Celerio Automtic / GL 2022,"284,900 EGP","trending_up +15,000 EGP","299,900 EGP",11/13/2022
661,Suzuki Celerio manual‏ / GL Alloy 2022,"259,900 EGP","trending_up +10,000 EGP","269,900 EGP",11/13/2022
662,Suzuki Celerio manual‏ / GL 2022,"249,900 EGP","trending_up +10,000 EGP","259,900 EGP",11/13/2022
663,Suzuki Celerio manual‏ / GA 2022,"239,900 EGP","trending_up +10,000 EGP","249,900 EGP",11/13/2022
664,Suzuki S Presso M/T / F/O 2022,"209,900 EGP","trending_up +20,000 EGP","229,900 EGP",11/13/2022
665,Suzuki Vitara A/T / Two tone 2022,"554,900 EGP","trending_up +45,000 EGP","599,900 EGP",11/13/2022
666,Suzuki Vitara A/T / One tone 2022,"544,900 EGP","trending_up +45,000 EGP","589,900 EGP",11/13/2022
667,Suzuki Ertiga A/T / GLX 2022,"429,900 EGP","trending_up +40,000 EGP","469,900 EGP",11/13/2022
668,Suzuki Ciaz A/T / GLX 2022,"389,900 EGP","trending_up +35,000 EGP","424,900 EGP",11/13/2022
669,Suzuki Ciaz A/T / GL 2022,"359,900 EGP","trending_up +25,000 EGP","384,900 EGP",11/13/2022
670,Suzuki Swift A/T / screen (2ton) 2022,"349,900 EGP","trending_up +30,000 EGP","379,900 EGP",11/13/2022
671,Suzuki Swift A/T / without screen (2ton) 2022,"339,900 EGP","trending_up +30,000 EGP","369,900 EGP",11/13/2022
672,Suzuki Swift Automatic / screen 2022,"329,900 EGP","trending_up +30,000 EGP","359,900 EGP",11/13/2022
673,Suzuki Swift Automatic /without screen 2022,"319,900 EGP","trending_up +30,000 EGP","349,900 EGP",11/13/2022
674,Suzuki Swift Dzire A/T / Top Line 2022,"319,900 EGP","trending_up +25,000 EGP","344,900 EGP",11/13/2022
675,Suzuki Swift Dzire A/T / Highline 2022,"299,900 EGP","trending_up +25,000 EGP","324,900 EGP",11/13/2022
676,Suzuki Swift Dzire Manual‏ 2022,"259,900 EGP","trending_up +25,000 EGP","284,900 EGP",11/13/2022
677,Ssang Yong Tivoli A/T / Style 2022,"570,000 EGP","trending_up +85,000 EGP","655,000 EGP",11/8/2022
678,Ssang Yong Tivoli A/T / Comfort 2022,"510,000 EGP","trending_up +70,000 EGP","580,000 EGP",11/8/2022
679,Ssang Yong Tivoli XLV A/T / Style 2022,"579,000 EGP","trending_up +86,000 EGP","665,000 EGP",11/8/2022
680,Ssang Yong Tivoli XLV A/T / Comfort 2022,"530,000 EGP","trending_up +65,000 EGP","595,000 EGP",11/8/2022
681,Fiat Tipo A/T / HB / Highline 2022,"525,000 EGP","trending_up +100,000 EGP","625,000 EGP",11/7/2022
682,Fiat Tipo A/T / HB / entry grade 2022,"450,000 EGP","trending_up +100,000 EGP","550,000 EGP",11/7/2022
683,Fiat Tipo A/T / Highline 2022,"500,000 EGP","trending_up +100,000 EGP","600,000 EGP",11/7/2022
684,Fiat Tipo A/T / MIDE GRADE 2022,"450,000 EGP","trending_up +100,000 EGP","550,000 EGP",11/7/2022
685,Fiat Tipo AT / entry grade 2022,"400,000 EGP","trending_up +100,000 EGP","500,000 EGP",11/7/2022
686,Nissan Sentra Automatic / upper 2023,"459,500 EGP","trending_up +20,000 EGP","479,500 EGP",11/7/2022
687,Nissan Sunny A/T / Super Saloon 2023,"357,000 EGP","trending_up +15,000 EGP","372,000 EGP",11/7/2022
688,Nissan Sunny A/T / plus 2023,"343,000 EGP","trending_up +15,000 EGP","358,000 EGP",11/7/2022
689,Nissan Sunny Automatic / Baseline 2023,"322,500 EGP","trending_up +15,000 EGP","337,500 EGP",11/7/2022
690,Nissan Sunny Manual‏ / Baseline 2023,"291,400 EGP","trending_up +15,000 EGP","306,400 EGP",11/7/2022
691,MG HS Automatic / LFC Edition 2022,"700,000 EGP","trending_up +49,990 EGP","749,990 EGP",11/3/2022
692,MG HS A/T / Luxury Brown Interior 2022,"695,000 EGP","trending_up +44,990 EGP","739,990 EGP",11/3/2022
693,MG HS A/T / Luxury Black Interior 2022,"690,000 EGP","trending_up +39,990 EGP","729,990 EGP",11/3/2022
694,MG ZS Automatic / Luxury 2022,"495,000 EGP","trending_up +34,990 EGP","529,990 EGP",11/3/2022
695,MG ZS Automatic / Comfort 2022,"480,000 EGP","trending_up +29,990 EGP","509,990 EGP",11/3/2022
696,MG ZS Automatic / Classic 2022,"465,000 EGP","trending_up +24,990 EGP","489,990 EGP",11/3/2022
697,MG Rx5 A/T / Luxury 2022,"640,000 EGP","trending_up +39,990 EGP","679,990 EGP",11/3/2022
698,MG Rx5 A/T / Comfort 2022,"610,000 EGP","trending_up +39,990 EGP","649,990 EGP",11/3/2022
699,MG 6 A/T / LUX / Red Interior) 2022,"545,000 EGP","trending_up +54,990 EGP","599,990 EGP",11/3/2022
700,MG 6 A/T / LUX / Black interior 2022,"540,000 EGP","trending_up +49,990 EGP","589,990 EGP",11/3/2022
701,MG 6 A/T / Comfort 2022,"520,000 EGP","trending_up +39,990 EGP","559,990 EGP",11/3/2022
702,MG 5 A/T / Luxury 2022,"435,000 EGP","trending_up +39,990 EGP","474,990 EGP",11/3/2022
703,MG 5 A/T / Comfort 2022,"415,000 EGP","trending_up +34,990 EGP","449,990 EGP",11/3/2022
704,MG 5 A/T / Standard 2022,"390,000 EGP","trending_up +29,990 EGP","419,990 EGP",11/3/2022
705,Renault Sandero Step Way A/T / SW 2022,"310,000 EGP","trending_up +79,000 EGP","389,000 EGP",11/3/2022
706,Renault Sandero Step Way A/T / SW NAV 2022,"320,000 EGP","trending_up +79,000 EGP","399,000 EGP",11/3/2022
707,Renault Megane A/T / Signature + Turbo 2022,"535,000 EGP","trending_up +141,000 EGP","676,000 EGP",11/3/2022
708,Renault Megane A/T / Signature Turbo 2022,"495,000 EGP","trending_up +131,000 EGP","626,000 EGP",11/3/2022
709,Renault Megane A/T / Dynamic Turbo 2022,"575,000 EGP","trending_up +10,000 EGP","585,000 EGP",11/3/2022
710,Renault Megane Automatic / Signature 2022,"455,000 EGP","trending_up +120,000 EGP","575,000 EGP",11/3/2022
711,Renault Megane A/T / Dynamic Turbo 2022,"465,000 EGP","trending_up +110,000 EGP","575,000 EGP",11/3/2022
712,Renault Megane A/T / Dynamic 2022,"435,000 EGP","trending_up +110,000 EGP","545,000 EGP",11/3/2022
713,Renault Megane A/T / Vision 2022,"395,000 EGP","trending_up +99,000 EGP","494,000 EGP",11/3/2022
714,Renault Kadjar A/T / Signature 2022,"550,000 EGP","trending_up +134,000 EGP","684,000 EGP",11/3/2022
715,Renault Kadjar A/T / INTENSE 2022,"540,000 EGP","trending_up +134,000 EGP","674,000 EGP",11/3/2022
716,Renault Duster A/T / H3 2022,"405,000 EGP","trending_up +100,000 EGP","505,000 EGP",11/3/2022
717,Renault Duster A/T / H1 2022,"355,000 EGP","trending_up +89,000 EGP","444,000 EGP",11/3/2022
718,Renault Sandero A/T / B1 2022,"295,000 EGP","trending_up +74,000 EGP","369,000 EGP",11/3/2022
719,Renault Logan A/T / E3 / Black Edtion 2022,"295,000 EGP","trending_up +74,000 EGP","369,000 EGP",11/3/2022
720,Renault Logan A/T / E3 2022,"285,000 EGP","trending_up +74,000 EGP","359,000 EGP",11/3/2022
721,Renault Logan A/T / E2 2022,"275,000 EGP","trending_up +74,000 EGP","349,000 EGP",11/3/2022
722,Renault Logan A/T / E1 2022,"265,000 EGP","trending_up +74,000 EGP","339,000 EGP",11/3/2022
723,Chevrolet Captiva Automtic / premire (7seats) 2022,"479,990 EGP","trending_up +180,000 EGP","659,990 EGP",11/3/2022
724,Chevrolet Captiva Automtic / Premier 2022,"459,990 EGP","trending_up +180,000 EGP","639,990 EGP",11/3/2022
725,Chevrolet Captiva Automtic / LT 2022,"439,990 EGP","trending_up +160,000 EGP","599,990 EGP",11/3/2022
726,Chevrolet Captiva Automtic / LS 2022,"419,990 EGP","trending_up +160,000 EGP","579,990 EGP",11/3/2022
727,Chevrolet Optra A/T / Highline 2023,"325,500 EGP","trending_up +33,000 EGP","358,500 EGP",11/3/2022
728,DFSK 330S M/T / TOPLINE / gas 2022,"386,900 EGP","trending_up +15,000 EGP","401,900 EGP",11/2/2022
729,DFSK 330S M/T/ Highline / gas 2022,"366,900 EGP","trending_up +15,000 EGP","381,900 EGP",11/2/2022
730,DFSK 330S M/T / TOPLINE 2022,"374,900 EGP","trending_up +15,000 EGP","389,900 EGP",11/2/2022
731,DFSK 330S M/T Highline 2022,"354,900 EGP","trending_up +15,000 EGP","369,900 EGP",11/2/2022
732,DFSK 330S manual‏ / High line 2022,"334,900 EGP","trending_up +15,000 EGP","349,900 EGP",11/2/2022
733,DFSK Eagle pro Automtic / Black interior 2022,"644,900 EGP","trending_up +30,000 EGP","674,900 EGP",11/2/2022
734,DFSK Eagle pro Automtic / red interior 2022,"639,900 EGP","trending_up +30,000 EGP","669,900 EGP",11/2/2022
735,Mitsubishi Mirage A/T / Highline 2023,"355,000 EGP","trending_up +10,000 EGP","365,000 EGP",11/1/2022
736,Mitsubishi Attrage A/T / Highline 2023,"340,000 EGP","trending_up +10,000 EGP","350,000 EGP",11/1/2022
737,Changan CS55 Plus A/T / Flagship 2022,"680,000 EGP","trending_up +120,000 EGP","800,000 EGP",10/31/2022
738,Changan CS55 Plus A/T / Premium 2022,"640,000 EGP","trending_up +120,000 EGP","760,000 EGP",10/31/2022
739,Changan CS55 Plus A/T / Elite 2022,"600,000 EGP","trending_up +115,000 EGP","715,000 EGP",10/31/2022
740,Changan CS 35 Plus A/T / FLAGSHIP 2022,"560,000 EGP","trending_up +90,000 EGP","650,000 EGP",10/31/2022
741,Changan CS 35 Plus A/T / PREMIUM 2022,"535,000 EGP","trending_up +80,000 EGP","615,000 EGP",10/31/2022
