,symbol,name,price,pricing_changes,pricing_percentage_changes,sector,industry,market_cap,share_volume,earnings_per_share,annualized_dividend,dividend_pay_date,symbol_yield,beta,errors
1992,ETY,"Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,",13.74,-0.01,(-0.07%),Finance,Finance Companies,"2,142,674,174","294,986",N/A,N/A,N/A,N/A,1.09,False
1993,AHCO,AdaptHealth Corp. Common Stock,16.58,Unchanged,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,"2,220,204,522","955,497",$0.39,N/A,N/A,N/A,0.3,False
1994,IOVA,"Iovance Biotherapeutics, Inc. Common Stock",13.1,-0.29,(-2.17%),Health Care,Biotechnology: Pharmaceutical Preparations,"2,104,483,818","1,647,927",N/A,N/A,N/A,0.83,,True
1995,ARCB,ArcBest Corporation Common Stock,88.1778,-1.5122,(-1.69%),Transportation,Trucking Freight/Courier Services,"2,206,172,915","327,280",$7.99,$0.32,"Feb 25, 2022",0.39%,1.65,False
1996,LKFN,Lakeland Financial Corporation Common Stock,80.86,Unchanged,,Finance,Major Banks,"2,087,454,591","163,932",$3.74,$1.60,"Feb 7, 2022",1.96%,0.77,False
1997,CTOS,"Custom Truck One Source, Inc. Common Stock",8.83,+0.28,(+3.27%),Technology,Diversified Commercial Services,"2,183,760,492","487,175",N/A,N/A,N/A,0.25,,True
1998,PDM,"Piedmont Office Realty Trust, Inc. Class A Common Stock",16.55,Unchanged,,Consumer Services,Building operators,"2,040,019,879","697,930",$0.84,"Feb 24, 2022",5.09%,0.97,,True
1999,IAS,Integral Ad Science Holding Corp. Common Stock,14.01,+1.19,(+9.28%),Technology,Advertising,"2,163,726,662","1,328,361",N/A,N/A,N/A,N/A,2.15,False
2000,HPK,"HighPeak Energy, Inc. Common Stock",19.55,+0.74,(+3.93%),Energy,Oil & Gas Production,5.52,"75,662","Jan 31, 2022","Feb 25, 2022",3.2,"Jul 14, 2021",$0.07,False
2001,CSGS,"CSG Systems International, Inc. Common Stock",64.21,Unchanged,,Technology,EDP Services,"2,077,093,268","326,929",$2.25,$1.06,"Mar 30, 2022",1.58%,0.81,False
2002,ODP,The ODP Corporation Common Stock,46.43,Unchanged,,Miscellaneous,Diversified Commercial Services,"2,251,246,953","477,259",N/A,"Jul 1, 2020",N/A,1.9,,True
2003,SATS,EchoStar Corporation Common Stock,25.49,+0.39,(+1.55%),Technology,Radio And Television Broadcasting And Communications Equipment,"2,155,005,605","346,793",$0.75,N/A,N/A,N/A,0.84,False
2004,VERX,"Vertex, Inc. Class A Common Stock",13.2,Unchanged,,Technology,EDP Services,"1,968,027,600","246,006",N/A,N/A,N/A,0.81,,True
2005,JELD,"JELD-WEN Holding, Inc. Common Stock",23.78,Unchanged,,N/A,N/A,"2,138,510,336","728,133",$1.71,N/A,N/A,N/A,2.39,False
2006,MANU,Manchester United Ltd. Class A Ordinary Shares,12.59,+0.08,(+0.64%),Consumer Services,Movies/Entertainment,"2,052,204,786","458,438",$0.18,"Nov 30, 2021",1.44%,0.7,,True
2007,FSS,Federal Signal Corporation Common Stock,34.44,Unchanged,,Technology,Industrial Machinery/Components,"2,098,482,238","248,833",$1.63,$0.36,"Apr 1, 2022",1.08%,1.08,False
2008,SDGR,"Schrodinger, Inc. Common Stock",31.87,-0.39,(-1.21%),Technology,Computer Software: Prepackaged Software,"2,291,670,911","1,169,475",N/A,N/A,N/A,0.99,,True
2009,BANR,Banner Corporation Common Stock,61.19,Unchanged,,Finance,Major Banks,12.71,"139,409","Feb 2, 2022","Feb 14, 2022",1.07,"Jan 8, 2020",$1.00,False
2010,UNFI,"United Natural Foods, Inc. Common Stock",38.83,Unchanged,,Consumer Non-Durables,Food Distributors,"2,262,432,862","620,153",$3.82,N/A,N/A,N/A,1.02,False
2011,QFIN,"360 DigiTech, Inc. American Depositary Shares",16.57,-0.66,(-3.83%),Finance,Finance: Consumer Services,"2,663,065,871","7,414,969",$5.58,$1.04,"May 13, 2022",9.18%,0.66,False
2012,CCS,"Century Communities, Inc. Common Stock",61.92,Unchanged,,Capital Goods,Homebuilding,"2,090,716,478","373,813",$14.56,$0.80,"Mar 16, 2022",1.37%,2.01,False
2013,HTGC,"Hercules Capital, Inc. Common Stock",17.12,Unchanged,,Finance,Investment Managers,"2,050,447,660","1,406,440",$1.43,$1.32,"Mar 16, 2022",7.76%,1.41,False
2014,KIND,"Nextdoor Holdings, Inc. Class A Common Stock",5.85,+0.07,(+1.21%),Consumer Services,EDP Services,"2,217,518,172","1,381,573",N/A,N/A,N/A,N/A,0.04,False
2015,MD,"Mednax, Inc. Common Stock",23.32,Unchanged,,Health Care,Medical Specialities,"2,016,540,682","507,128",$1.53,N/A,N/A,N/A,2.06,False
2016,BSTZ,BlackRock Science and Technology Trust II Common Shares of Beneficial Interest,26.56,+1.37,(+5.44%),Finance,"Trusts, Except Educational, Religious, and Charitable","2,085,970,236","253,110",N/A,N/A,N/A,N/A,1.43,False
2017,DFH,"Dream Finders Homes, Inc. Class A Common Stock",23.0,+0.41,(+1.81%),N/A,N/A,"2,090,060,278","491,169",N/A,N/A,N/A,N/A,0.29,False
2018,GSAT,"Globalstar, Inc. Common Stock",1.2,+0.03,(+2.56%),Consumer Services,Telecommunications Equipment,"2,102,490,000","8,459,115",N/A,N/A,N/A,0.05,,True
2019,MGRC,McGrath RentCorp Common Stock,86.39,+1.36,(+1.6%),Technology,Diversified Commercial Services,"2,095,852,846","127,474",$3.66,$1.82,"Apr 29, 2022",1.97%,0.83,False
2020,SASR,"Sandy Spring Bancorp, Inc. Common Stock",46.19,Unchanged,,Finance,Major Banks,"2,084,626,525","132,763",$4.96,$1.36,"Feb 28, 2022",2.98%,1.02,False
2021,CBZ,"CBIZ, Inc. Common Stock",40.64,+0.40,(+0.99%),Miscellaneous,Business Services,"2,120,418,497","177,548",$1.30,N/A,N/A,N/A,0.72,False
2022,AKR,Acadia Realty Trust Common Stock,21.93,Unchanged,,Consumer Services,Real Estate Investment Trusts,"2,052,580,960","787,840",$0.26,$0.72,"Apr 14, 2022",2.79%,1.41,False
2023,WMK,"Weis Markets, Inc. Common Stock",75.52,+0.10,(+0.13%),Consumer Services,Food Chains,"2,031,370,415","73,513",$4.04,$1.28,"Feb 28, 2022",1.74%,0.2,False
2024,NAPA,"The Duckhorn Portfolio, Inc. Common Stock",17.74,Unchanged,,Consumer Non-Durables,Beverages (Production/Distribution),"2,041,256,825","663,288",$0.48,N/A,N/A,N/A,0.7,False
2025,ADX,Adams Diversified Equity Fund Inc.,17.71,Unchanged,,Finance,Investment Managers,"2,086,757,009","232,203",N/A,$2.98,"Mar 1, 2022",17.57%,1.04,False
2026,DRH,Diamondrock Hospitality Company Common Stock,10.04,Unchanged,,Consumer Services,Real Estate Investment Trusts,"2,115,898,826","2,954,532",N/A,N/A,N/A,1.72,,True
2027,ZNTL,"Zentalis Pharmaceuticals, Inc. Common Stock",43.0831,-0.3869,(-0.89%),Consumer Durables,Specialty Chemicals,"1,980,614,177","567,662",N/A,N/A,N/A,2.35,,True
2028,VSTO,Vista Outdoor Inc. Common Stock,36.34,-0.85,(-2.29%),Consumer Non-Durables,Recreational Products/Toys,"2,090,590,627","693,856",$7.18,N/A,N/A,N/A,0.57,False
2029,GLNG,Golar Lng Ltd,18.39,Unchanged,,Energy,Oilfield Services/Equipment,"1,989,798,000","1,507,849",$3.73,N/A,"Jul 3, 2019",N/A,0.62,False
2030,RLX,"RLX Technology Inc. American Depositary Shares, each representing the right to receive one",2.09,-0.01,(-0.48%),Consumer Non-Durables,Farming/Seeds/Milling,"2,826,295,080","99,647,187",$0.23,N/A,N/A,N/A,0.53,False
2031,NE,Noble Corporation plc Ordinary Shares,29.71,-0.19,(-0.64%),Energy,Oil & Gas Production,"1,838,710,781","395,211",N/A,N/A,N/A,N/A,-0.54,False
2032,SEAT,Vivid Seats Inc. Class A Common Stock,11.34,+0.06,(+0.53%),Capital Goods,Industrial Machinery/Components,"2,201,274,324","526,110",N/A,N/A,N/A,N/A,-0.52,False
2033,SJW,SJW Group Common Stock,66.62,Unchanged,,Public Utilities,Water Supply,"2,014,359,028","152,972",$2.02,$1.44,"Mar 1, 2022",2.19%,0.5,False
2034,MED,MEDIFAST INC Common Stock,175.37,Unchanged,,Miscellaneous,Other Consumer Services,"2,024,231,023","83,851",$13.89,$5.68,"Feb 8, 2022",3.47%,1.44,False
2035,CINT,CI&T Inc Class A Common Shares,17.07,+0.83,(+5.11%),N/A,N/A,"2,256,618,085","65,361",N/A,N/A,N/A,N/A,-1.29,False
2036,ENIC,Enel Chile S.A. American Depositary Shares,1.6,Unchanged,,Public Utilities,Electric Utilities: Central,"2,213,329,830","1,149,515",N/A,$0.164,"Feb 11, 2022",11.13%,0.76,False
2037,STER,Sterling Check Corp. Common Stock,23.05,Unchanged,,Technology,Computer Software: Prepackaged Software,"2,206,967,774","397,511",N/A,N/A,N/A,N/A,-1.78,False
2038,CSIQ,Canadian Solar Inc. Common Shares,32.4312,-0.7288,(-2.20%),N/A,N/A,"1,989,521,842","1,738,954",$1.17,N/A,N/A,N/A,1.39,False
2039,KYMR,"Kymera Therapeutics, Inc. Common Stock",38.5,Unchanged,,Consumer Durables,Specialty Chemicals,"1,990,586,444","427,113",N/A,N/A,N/A,2.02,,True
2040,RNST,Renasant Corporation Common Stock,36.2,Unchanged,,Finance,Major Banks,"2,020,508,502","247,501",$3.11,$0.88,"Mar 31, 2022",2.47%,1.14,False
2041,NUV,"Nuveen Municipal Value Fund, Inc. Common Stock",9.44,-0.03,(-0.32%),Finance,"Trusts, Except Educational, Religious, and Charitable","1,958,887,169","632,429",N/A,$0.345,"Apr 1, 2022",3.63%,0.21,False
2042,OLK,Olink Holding AB,15.2894,-0.0606,(-0.39%),Capital Goods,Biotechnology: Laboratory Analytical Instruments,"1,826,758,402","323,862",N/A,N/A,N/A,2.24,,True
2043,BUR,Burford Capital Limited Ordinary Shares,9.3072,-0.0128,(-0.14%),Consumer Non-Durables,Farming/Seeds/Milling,"2,041,544,854","370,881",N/A,N/A,N/A,N/A,1.59,False
2044,NKTR,Nektar Therapeutics Common Stock,4.63,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"862,449,342","6,875,749",N/A,N/A,N/A,1.3,,True
2045,HOPE,"Hope Bancorp, Inc. Common Stock",16.72,Unchanged,,Finance,Major Banks,"2,008,309,156","880,486",$1.66,$0.56,"Feb 17, 2022",3.35%,1.33,False
2046,ARLP,"Alliance Resource Partners, L.P. Common Units representing Limited Partners Interests",13.8,+0.05,(+0.36%),Energy,Coal Mining,"1,748,934,261","847,491",$1.37,$1.00,"Feb 14, 2022",7.09%,1.67,False
2047,CMRE,Costamare Inc. Common Stock $0.0001 par value,16.11,-0.04,(-0.25%),Transportation,Marine Transportation,"1,995,656,065","1,167,728",$3.27,$0.46,"Feb 7, 2022",2.95%,1.38,False
2048,DAC,Danaos Corporation Common Stock,106.57,+0.74,(+0.70%),Transportation,Marine Transportation,"2,192,441,800","1,050,880",$51.17,$3.00,"Feb 28, 2022",3.2%,1.41,False
2049,NEO,"NeoGenomics, Inc. Common Stock",15.79,Unchanged,,Health Care,Precision Instruments,"1,958,366,845","1,769,239",N/A,N/A,N/A,0.83,,True
2050,GSBD,"Goldman Sachs BDC, Inc. Common Stock",19.21,+0.06,(+0.31%),Finance,Finance: Consumer Services,"1,957,218,784","488,791",$1.89,$1.80,"Apr 27, 2022",9.44%,1.34,False
2051,WGO,"Winnebago Industries, Inc. Common Stock",59.88,Unchanged,,Consumer Non-Durables,Homebuilding,"1,996,678,959","484,401",$9.44,$0.72,"Jan 26, 2022",1.25%,1.87,False
2052,TRMK,Trustmark Corporation Common Stock,32.1,Unchanged,,Finance,Major Banks,"1,973,945,363","263,792",$2.34,$0.92,"Mar 15, 2022",2.9%,0.92,False
2053,OLO,Olo Inc. Class A Common Stock,12.47,Unchanged,,Technology,Computer Software: Prepackaged Software,"1,983,363,488","1,427,688",N/A,N/A,N/A,1.56,,True
2054,BBLN,Babylon Holdings Limited Class A Ordinary Shares,4.79,+0.25,(+5.51%),N/A,N/A,"1,980,963,709","67,484",N/A,N/A,N/A,N/A,-2.3,False
2055,ACVA,ACV Auctions Inc. Class A Common Stock,13.6,Unchanged,,Technology,EDP Services,"2,125,225,121","1,053,904",N/A,N/A,N/A,1.35,,True
2056,RDFN,Redfin Corporation Common Stock,18.5,-0.09,(-0.48%),Finance,Real Estate,"1,977,913,761","2,728,196",N/A,N/A,N/A,1.87,,True
2057,KN,Knowles Corporation Common Stock,21.41,+0.26,(+1.23%),Consumer Non-Durables,Consumer Electronics/Appliances,"1,981,798,066","1,231,483",$1.59,N/A,N/A,N/A,1.37,False
2058,QRTEB,"Qurate Retail, Inc. Series B Common Stock",5.3,+0.17,(+3.31%),Consumer Services,Catalog/Specialty Distribution,N/A,553,N/A,N/A,1.81,"Sep 15, 2020",$1.50,False
2059,RXDX,"Prometheus Biosciences, Inc. Common Stock",42.3768,-0.1432,(-0.34%),Health Care,Biotechnology: Pharmaceutical Preparations,"1,661,418,061","396,154",N/A,N/A,N/A,2.42,,True
2060,PRGS,Progress Software Corporation Common Stock,44.54,Unchanged,,Technology,Computer Software: Prepackaged Software,"1,967,836,795","251,101",$1.75,$0.70,"Mar 15, 2022",1.62%,1.15,False
2061,STEP,StepStone Group Inc. Class A Common Stock,32.99,Unchanged,,Finance,Finance/Investors Services,"2,005,505,185","230,650",$4.56,$0.60,"Mar 15, 2022",1.93%,1.63,False
2062,EPC,Edgewell Personal Care Company Common Stock,37.85,Unchanged,,Consumer Non-Durables,Package Goods/Cosmetics,"2,046,751,430","550,474",$2.00,$0.60,"Apr 5, 2022",1.64%,1,False
2063,EVRI,Everi Holdings Inc. Common Stock,21.93,Unchanged,,Consumer Services,Recreational Products/Toys,"2,004,603,602","526,346",$1.52,N/A,N/A,N/A,2.64,False
2064,NOG,"Northern Oil and Gas, Inc. Common Stock",24.74,Unchanged,,Energy,Oil & Gas Production,"1,913,419,531","1,233,409",$0.56,"Mar 29, 2022",1.34%,2.24,,True
2065,OSTK,"Overstock.com, Inc. Common Stock",48.55,+0.06,(+0.12%),Consumer Services,Catalog/Specialty Distribution,"2,090,857,427","1,531,215",$8.11,N/A,N/A,N/A,4.01,False
2066,OM,"Outset Medical, Inc. Common Stock",41.03,Unchanged,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,"1,945,103,302","316,267",N/A,N/A,N/A,1.97,,True
2067,DH,Definitive Healthcare Corp. Class A Common Stock,21.67,Unchanged,,Technology,Computer Software: Prepackaged Software,"2,102,642,159","834,836",N/A,N/A,N/A,N/A,0.57,False
2068,BBBY,Bed Bath & Beyond Inc. Common Stock,21.33,+0.01,(+0.05%),Consumer Services,Other Specialty Stores,"2,053,920,041","3,597,681",N/A,N/A,N/A,1.55,,True
2069,NAC,Nuveen California Quality Municipal Income Fund,13.14,+0.105,(+0.81%),Finance,Investment Managers,"1,901,818,675","359,393",N/A,N/A,N/A,N/A,0.24,False
2070,CSWI,"CSW Industrials, Inc. Common Stock",116.34,-1.41,(-1.2%),Basic Industries,Home Furnishings,"1,841,019,771","49,472",$3.54,$0.60,"Feb 11, 2022",0.51%,0.79,False
2071,ASZ,Austerlitz Acquisition Corporation II Class A Ordinary Shares,9.76,+0.01,(+0.10%),N/A,N/A,"1,922,142,846","92,286",N/A,N/A,N/A,N/A,-0.04,False
2072,ERJ,Embraer S.A. Common Stock,11.1921,-0.0379,(-0.34%),Capital Goods,Aerospace,"2,066,721,764","4,704,310",N/A,N/A,N/A,1.21,,True
2073,AI,"C3.ai, Inc. Class A Common Stock",19.0663,-0.2337,(-1.21%),Technology,Computer Software: Prepackaged Software,"2,052,975,798","4,165,379",N/A,N/A,N/A,0.16,,True
2074,NVEE,"NV5 Global, Inc. Common Stock",128.21,Unchanged,,Consumer Services,Military/Government/Technical,"1,980,716,803","55,266",$3.17,N/A,N/A,N/A,0.98,False
2075,LXU,"LSB Industries, Inc. Common Stock",19.1169,-0.0531,(-0.28%),Basic Industries,Agricultural Chemicals,"1,716,944,986","502,758",N/A,N/A,N/A,1.83,,True
2076,IDCC,"InterDigital, Inc. Common Stock",63.82,Unchanged,,Public Utilities,Telecommunications Equipment,27.28,"132,678","Jan 11, 2022","Jan 26, 2022",1.05,"Dec 13, 2012",$1.50,False
2077,ADV,Advantage Solutions Inc. Class A Common Stock,6.23,+0.21,(+3.49%),Technology,Advertising,"1,981,869,558","337,194",$0.15,N/A,N/A,N/A,1.64,False
2078,PLAY,"Dave & Buster's Entertainment, Inc. Common Stock",42.77,Unchanged,,Consumer Services,Movies/Entertainment,"2,071,044,011","1,005,510",$0.49,N/A,"Feb 10, 2020",N/A,1.87,False
2079,SAH,"Sonic Automotive, Inc. Common Stock",47.01,Unchanged,,Consumer Services,Other Specialty Stores,"1,890,528,681","398,114",$8.08,$1.00,"Apr 14, 2022",2.2%,2.27,False
2080,MWA,MUELLER WATER PRODUCTS Common Stock,12.76,Unchanged,,Capital Goods,Office Equipment/Supplies/Services,"2,001,704,826","1,099,167",$0.46,$0.232,"Feb 21, 2022",1.9%,1.38,False
2082,EVT,Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,26.55,+0.69,(+2.67%),Finance,Finance Companies,"1,955,506,133","111,268",N/A,N/A,N/A,N/A,1.34,False
2083,DEA,"Easterly Government Properties, Inc. Common Stock",20.68,Unchanged,,Consumer Services,Real Estate Investment Trusts,"1,864,402,670","669,184",$0.35,$1.06,"Mar 22, 2022",5.08%,0.47,False
2084,GOGO,Gogo Inc. Common Stock,17.5,+0.17,(+0.98%),Consumer Services,Telecommunications Equipment,"1,921,522,360","1,167,137",$0.96,N/A,N/A,N/A,0.99,False
2085,GCMG,GCM Grosvenor Inc. Class A Common Stock,10.55,Unchanged,,Finance,Finance/Investors Services,"1,942,783,639","273,298",$0.25,$0.40,"Mar 15, 2022",3.91%,0.67,False
2086,AVAV,"AeroVironment, Inc. Common Stock",82.8,+1.33,(+1.63%),Capital Goods,Aerospace,"2,029,770,710","851,766",N/A,N/A,N/A,0.27,,True
2087,ARI,"Apollo Commercial Real Estate Finance, Inc",13.67,Unchanged,,Consumer Services,Real Estate Investment Trusts,"1,921,201,061","995,863",$1.40,$1.40,"Jan 15, 2022",10.42%,1.22,False
2088,SPCE,"Virgin Galactic Holdings, Inc. Common Stock",7.97,-0.02,(-0.25%),N/A,N/A,"2,063,732,729","16,424,192",N/A,N/A,N/A,0.37,,True
2089,GNW,Genworth Financial Inc Common Stock,3.76,-0.06,(-1.57%),Finance,Life Insurance,"1,938,213,886","3,517,044",$1.77,N/A,N/A,N/A,0.93,False
2090,EGBN,"Eagle Bancorp, Inc. Common Stock",60.1,Unchanged,,Finance,Major Banks,"1,920,253,778","126,898",$5.52,$1.60,"Jan 31, 2022",2.69%,0.99,False
2091,ITCB,Itau CorpBanca American Depositary Shares,3.06,+0.18,(+6.25%),Finance,Commercial Banks,"1,985,976,457","46,664",$0.94,$0.11,"Apr 4, 2022",N/A,0.83,False
2092,IVT,InvenTrust Properties Corp. Common Stock,28.11,Unchanged,,Consumer Services,Real Estate Investment Trusts,"1,893,050,353","480,779",N/A,$0.821,"Apr 15, 2022",2.97%,-10.19,False
2093,SHLS,"Shoals Technologies Group, Inc. Class A Common Stock",19.24,Unchanged,,Technology,Semiconductors,"2,160,140,043","2,663,387",N/A,N/A,N/A,N/A,2.17,False
2094,PRM,"Perimeter Solutions, SA Ordinary Shares",11.5,+0.02,(+0.17%),N/A,N/A,"1,873,911,017","131,888",N/A,N/A,N/A,N/A,2.64,False
2095,FLNC,"Fluence Energy, Inc. Class A Common Stock",12.55,Unchanged,,N/A,N/A,"2,150,024,146","1,301,037",N/A,N/A,N/A,N/A,6.02,False
2096,GOF,Guggenheim Strategic Opportunities Fund Common Shares of Beneficial Interest,18.3,-0.09,(-0.49%),Finance,Finance/Investors Services,"1,827,042,730","416,034",N/A,N/A,N/A,N/A,0.52,False
2097,IRWD,"Ironwood Pharmaceuticals, Inc. Class A Common Stock",12.3,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"1,958,430,219","3,391,130",$3.23,N/A,N/A,N/A,1.15,False
2098,EQRX,"EQRx, Inc. Common Stock",4.28,+0.31,(+7.81%),Health Care,Biotechnology: Pharmaceutical Preparations,"2,087,067,592","1,292,165",N/A,N/A,N/A,N/A,-1.25,False
2099,ESE,ESCO Technologies Inc. Common Stock,71.84,Unchanged,,Capital Goods,Telecommunications Equipment,"1,867,316,717","118,355",$2.41,$0.32,"Apr 19, 2022",0.46%,1.16,False
2100,DDD,3D Systems Corporation Common Stock,14.71,-0.10,(-0.68%),Technology,Computer peripheral equipment,"1,900,270,211","1,429,533",$2.57,N/A,N/A,N/A,1.24,False
2101,VMEO,"Vimeo, Inc. Common Stock",11.89,Unchanged,,Technology,Computer Software: Prepackaged Software,"1,976,047,861","1,972,177",N/A,N/A,N/A,2.59,,True
2102,VORB,"Virgin Orbit Holdings, Inc. Common Stock",5.96,-0.07,(-1.16%),N/A,N/A,"2,019,567,081","282,132",N/A,N/A,N/A,N/A,-0.35,False
2103,CNK,"Cinemark Holdings Inc Cinemark Holdings, Inc. Common Stock",16.49,+0.02,(+0.12%),Consumer Services,Movies/Entertainment,"1,972,175,659","2,971,830",N/A,N/A,N/A,2.31,,True
2104,NABL,"N-able, Inc. Common Stock",9.39,Unchanged,,Technology,EDP Services,"1,688,723,798","1,163,631",N/A,N/A,N/A,N/A,0.39,False
2105,EFSC,Enterprise Financial Services Corporation Common Stock,49.76,Unchanged,,Finance,Major Banks,"1,881,981,618","115,624",$3.90,$0.84,"Mar 31, 2022",1.71%,1.23,False
2106,EBS,"Emergent Biosolutions, Inc. Common Stock",39.14,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"1,976,625,618","692,906",$4.26,N/A,N/A,N/A,0.89,False
2107,AMPL,"Amplitude, Inc. Class A Common Stock",17.5,+0.34,(+1.98%),Technology,EDP Services,"1,888,802,367","2,487,771",N/A,N/A,N/A,N/A,4.69,False
2108,CZOO,Cazoo Group Ltd Class A Ordinary Shares,2.43,Unchanged,,Consumer Durables,Automotive Aftermarket,"1,845,467,898","6,274,681",N/A,N/A,N/A,N/A,1.57,False
2109,CUBI,"Customers Bancorp, Inc Common Stock",59.24,Unchanged,,Finance,Major Banks,"1,951,788,988","310,887",$8.85,N/A,N/A,N/A,1.6,False
2110,OI,"O-I Glass, Inc. Common Stock",13.15,Unchanged,,Consumer Durables,Containers/Packaging,"2,046,423,014","2,206,759",$0.91,N/A,N/A,N/A,1.6,False
2111,HIMX,"Himax Technologies, Inc. American Depositary Shares",10.83,-0.56,(-4.92%),Technology,Semiconductors,"1,982,875,589","4,238,251",$2.50,$0.262,"Jul 12, 2021",2.58%,2,False
2112,SAGE,"Sage Therapeutics, Inc. Common Stock",33.46,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"1,975,938,442","460,951",N/A,N/A,N/A,1.67,,True
2113,YPF,YPF Sociedad Anonima Common Stock,4.31,Unchanged,,Energy,Integrated oil Companies,"1,695,178,138","2,060,450",N/A,N/A,N/A,1.78,,True
2114,GAB,"Gabelli Equity Trust, Inc.",6.85,Unchanged,,Finance,Investment Managers,"1,998,802,847","1,144,750",N/A,$0.63,"Mar 24, 2022",9.03%,0.98,False
2115,WWW,"Wolverine World Wide, Inc. Common Stock",23.3,Unchanged,,Consumer Non-Durables,Shoe Manufacturing,"1,903,370,360","626,130",$0.80,$0.40,"May 5, 2022",1.78%,1.82,False
2116,THS,"Treehouse Foods, Inc. Common Stock",33.29,Unchanged,,Consumer Non-Durables,Packaged Foods,"1,857,421,476","683,829",N/A,N/A,N/A,0.52,,True
2117,SBH,"Sally Beauty Holdings, Inc.",17.66,Unchanged,,Miscellaneous,Diversified Commercial Services,"1,943,933,365","1,297,135",$2.19,N/A,N/A,N/A,1.45,False
2118,MTTR,"Matterport, Inc. Class A Common Stock",7.3,+0.03,(+0.41%),Technology,Computer Software: Prepackaged Software,"1,892,339,270","10,841,657",N/A,N/A,N/A,N/A,1.6,False
2119,QRTEA,"Qurate Retail, Inc. Series A Common Stock",5.13,-0.06,(-1.16%),Consumer Services,Catalog/Specialty Distribution,"1,968,545,586","5,569,896",$0.78,N/A,N/A,N/A,1.76,False
2120,XPRO,Expro Group Holdings N.V. Common Stock,15.39,Unchanged,,Energy,Oilfield Services/Equipment,"1,683,319,740","581,400",N/A,N/A,N/A,1.17,,True
2121,BLMN,"Bloomin' Brands, Inc. Common Stock",22.27,Unchanged,,Consumer Services,Restaurants,"1,996,140,027","1,744,416",$2.00,$0.56,"Mar 16, 2022",2.72%,1.94,False
2122,FOE,Ferro Corporation Common Stock,21.74,+0.04,(+0.18%),Basic Industries,Paints/Coatings,"1,818,103,134","2,180,300",$1.77,N/A,N/A,N/A,1.42,False
2123,NVX,NOVONIX Limited American Depository Shares,14.51,-0.02,(-0.14%),Finance,Investment Managers,"1,762,471,181","6,933",N/A,N/A,N/A,N/A,,True
2124,BCAT,BlackRock Capital Allocation Trust Common Shares of Beneficial Interest,16.19,+0.01,(+0.06%),Finance,Finance/Investors Services,"1,806,294,070","382,916",N/A,$1.249,"Mar 31, 2022",7.92%,0.82,False
2125,AMEH,"Apollo Medical Holdings, Inc. Common Stock",45.41,Unchanged,,Health Care,Managed Health Care,"2,044,838,547","629,117",$1.62,N/A,N/A,N/A,0.39,False
2126,PFS,"Provident Financial Services, Inc Common Stock",23.85,Unchanged,,Finance,Savings Institutions,"1,839,133,411","381,872",$2.19,$0.96,"Feb 25, 2022",4.07%,0.95,False
2127,CAKE,Cheesecake Factory Incorporated,36.75,-1.26,(-3.31%),Consumer Services,Restaurants,"2,004,763,977","804,255",$1.02,N/A,"Mar 20, 2020",N/A,1.49,False
2128,BOWL,Bowlero Corp. Class A Common Stock,11.85,+0.10,(+0.85%),Consumer Services,Movies/Entertainment,"1,943,075,069","951,333",N/A,N/A,N/A,N/A,-0.48,False
2129,TGH,Textainer Group Holdings Limited Common Shares,38.03,Unchanged,,Technology,Diversified Commercial Services,"1,857,075,446","330,731",$5.40,$1.00,"Mar 15, 2022",2.78%,1.22,False
2130,EMBK,"Embark Technology, Inc. Common Stock",4.5,-0.07,(-1.53%),Technology,Computer Software: Prepackaged Software,"2,054,457,512","1,363,622",N/A,N/A,N/A,N/A,4.84,False
2131,RLGY,Realogy Holdings Corp. Common Stock,16.49,Unchanged,,Finance,Real Estate,"1,922,660,108","726,320",$2.87,N/A,N/A,N/A,2.46,False
2132,XMTR,"Xometry, Inc. Class A Common Stock",38.03,Unchanged,,Technology,Industrial Machinery/Components,"1,768,178,837","865,068",N/A,N/A,N/A,N/A,0.42,False
2133,VALN,Valneva SE American Depositary Shares,37.15,Unchanged,,N/A,N/A,"1,987,907,868","11,592",N/A,N/A,N/A,N/A,5.76,False
2134,GBT,"Global Blood Therapeutics, Inc. Common Stock",30.13,Unchanged,,Health Care,Biotechnology: Pharmaceutical Preparations,"1,953,070,017","814,368",N/A,N/A,N/A,1.03,,True
2135,BKE,"Buckle, Inc.",37.9,Unchanged,,Consumer Services,Clothing/Shoe/Accessory Stores,"1,884,715,873","746,953",$5.15,$1.40,"Dec 29, 2021",3.91%,1.07,False
2136,SBGI,"Sinclair Broadcast Group, Inc. Class A Common Stock",27.5,Unchanged,,Consumer Services,Broadcasting,29.03,"774,257","Mar 4, 2022","Mar 21, 2022",1.28,"Nov 28, 2012",$1.00,False
2137,CRSR,"Corsair Gaming, Inc. Common Stock",20.3,-0.08,(-0.39%),Technology,Computer Manufacturing,"1,940,176,000","1,381,281",$1.02,N/A,N/A,N/A,1.37,False
